,Task,Start,Finish
0,ansible_output_check[Remove app state file]  Duration: 0:00:51,2022-03-01 09:04:43.928,2022-03-01 09:05:34.949
1,ansible_output_check[Remove app state file]  Duration: 5:48:58,2022-03-01 09:07:39.948,2022-03-01 14:56:37.355
2,ansible_output_check[Remove app state file]  Duration: 0:00:52,2022-03-01 14:58:41.976,2022-03-01 14:59:33.323
3,ansible_output_post[Wait for system to become reachable]  Duration: 0:01:49,2022-03-01 03:51:22.322,2022-03-01 03:53:11.864
4,ansible_output_post[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:10:05,2022-03-01 03:55:14.666,2022-03-01 04:05:19.943
5,ansible_output_post[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:04:11,2022-03-01 04:05:33.266,2022-03-01 04:09:44.722
6,ansible_output_post[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:04:11,2022-03-01 04:09:57.183,2022-03-01 04:14:08.714
7,ansible_output_post[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:04:12,2022-03-01 04:14:21.865,2022-03-01 04:18:33.580
8,ansible_output_post[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:04:12,2022-03-01 04:18:46.442,2022-03-01 04:22:58.472
9,ansible_output_post[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:10,2022-03-01 04:23:16.871,2022-03-01 04:25:26.046
10,ansible_output_post[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:10,2022-03-01 04:25:44.746,2022-03-01 04:27:54.686
11,ansible_output_post[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 04:28:10.809,2022-03-01 04:30:16.287
12,ansible_output_post[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 04:30:27.602,2022-03-01 04:32:33.588
13,ansible_output_post[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:00:36,2022-03-01 04:32:39.736,2022-03-01 04:33:15.913
14,ansible_output_post[Delete OMI user]  Duration: 6:36:28,2022-03-01 04:33:35.574,2022-03-01 11:10:03.911
15,ansible_output_post[Wait for system to become reachable]  Duration: 0:01:11,2022-03-01 11:10:03.911,2022-03-01 11:11:14.247
16,ansible_output_post[Delete OMI user]  Duration: 5:21:54,2022-03-01 11:13:44.643,2022-03-01 16:35:38.415
17,ansible_output_post[Wait for system to become reachable]  Duration: 0:01:10,2022-03-01 16:35:38.415,2022-03-01 16:36:48.591
18,EM1S1[Configure DSCP Marking]  Duration: 0:00:39,2022-03-01 12:31:29.830,2022-03-01 12:32:08.649
19,EM1S1[Setup DBS on PLE5]  Duration: 0:00:37,2022-03-01 12:33:03.873,2022-03-01 12:33:40.015
20,EM1S1[Install DBS on PLE5]  Duration: 0:07:33,2022-03-01 12:33:40.406,2022-03-01 12:41:13.159
21,EM1S1[Install AS DB (primary) on DBS]  Duration: 0:05:05,2022-03-01 12:41:14.784,2022-03-01 12:46:19.446
22,EM1S1[Upgrade the schema to level 1 on Both Primary and Secondary DB]  Duration: 0:08:06,2022-03-01 12:46:20.415,2022-03-01 12:54:26.370
23,EM1S1[Upgrade the schema to level 2 on Primary DB]  Duration: 0:07:10,2022-03-01 12:54:26.370,2022-03-01 13:01:36.466
24,EM1S1[Wait until DB is running on dbHost]  Duration: 0:00:31,2022-03-01 13:01:36.574,2022-03-01 13:02:07.293
25,EM1S1[Wait until DB is running on dbHost]  Duration: 0:00:31,2022-03-01 13:02:45.544,2022-03-01 13:03:16.404
26,EM1S1[Upgrade Primary SM instance]  Duration: 0:02:18,2022-03-01 13:03:17.446,2022-03-01 13:05:35.297
27,EM1S1[Pause of 15 minutes]  Duration: 0:15:00,2022-03-01 13:05:35.297,2022-03-01 13:20:35.361
28,EM1S1[Start Accounting Manager (AM) instance]  Duration: 0:00:31,2022-03-01 13:22:32.272,2022-03-01 13:23:03.713
29,EM1S1[Start Prov Manager (PROV) instance]  Duration: 0:02:02,2022-03-01 13:23:27.991,2022-03-01 13:25:29.644
30,EM1S1[Init AIDE Enablement]  Duration: 0:01:59,2022-03-01 13:25:50.009,2022-03-01 13:27:49.256
31,EM1S1[Create backup on primary]  Duration: 0:01:10,2022-03-01 07:34:30.226,2022-03-01 07:35:40.266
32,EM1S1[Check peer NEs state]  Duration: 0:00:32,2022-03-01 07:35:48.871,2022-03-01 07:36:20.527
33,EM1S1[Wait 30 secs for Active Instance of SM]  Duration: 0:00:30,2022-03-01 07:39:30.101,2022-03-01 07:40:00.133
34,EM1S1[Wait 30 secs for Active Instance of SM]  Duration: 0:00:30,2022-03-01 07:40:00.233,2022-03-01 07:40:30.266
35,EM1S1[Run partDBFromCluster.pl script]  Duration: 4:22:31,2022-03-01 07:40:50.838,2022-03-01 12:03:21.375
36,EM1S1[Wait 30 secs for Active Instance of SM]  Duration: 0:00:31,2022-03-01 12:06:36.986,2022-03-01 12:07:07.020
37,EM1S1[Wait 30 secs for Active Instance of SM]  Duration: 0:00:30,2022-03-01 12:07:18.259,2022-03-01 12:07:48.302
38,EM1S1[Run partDBFromCluster.pl script]  Duration: 0:53:03,2022-03-01 12:08:06.991,2022-03-01 13:01:09.374
39,EM1S1[Wait 30 secs for Active Instance of SM]  Duration: 0:00:31,2022-03-01 13:07:41.967,2022-03-01 13:08:12.004
40,EM1S1[Wait 30 secs for Active Instance of SM]  Duration: 0:00:30,2022-03-01 13:08:12.133,2022-03-01 13:08:42.163
41,EM1S2[Configure DSCP Marking]  Duration: 0:00:33,2022-03-01 18:23:57.753,2022-03-01 18:24:30.040
42,EM1S2[Setup DBS on PLE5]  Duration: 0:00:35,2022-03-01 18:25:36.762,2022-03-01 18:26:11.713
43,EM1S2[Install DBS on PLE5]  Duration: 0:07:32,2022-03-01 18:26:12.082,2022-03-01 18:33:44.830
44,EM1S2[Install AS DB (secondary) on DBS]  Duration: 0:05:04,2022-03-01 18:34:17.618,2022-03-01 18:39:21.496
45,EM1S2[Upgrade the schema to level 3 and 4 on Both Primary and Secondary DB]  Duration: 0:07:36,2022-03-01 18:39:21.496,2022-03-01 18:46:57.406
46,EM1S2[Start Secondary System Manager (SM) instance]  Duration: 0:01:31,2022-03-01 18:48:53.326,2022-03-01 18:50:24.937
47,EM1S2[Start Accounting Manager (AM) instance]  Duration: 0:00:31,2022-03-01 18:51:03.172,2022-03-01 18:51:34.636
48,EM1S2[Start Prov Manager (PROV) instance]  Duration: 0:02:02,2022-03-01 18:51:58.993,2022-03-01 18:54:00.667
49,EM1S2[Init AIDE Enablement]  Duration: 0:02:00,2022-03-01 18:54:15.586,2022-03-01 18:56:15.555
50,EM1S2[Create backup on primary]  Duration: 0:01:10,2022-03-01 07:34:30.226,2022-03-01 07:35:40.266
51,EM1S2[Check peer NEs state]  Duration: 0:00:32,2022-03-01 07:35:48.871,2022-03-01 07:36:20.527
52,EM1S2[Wait 30 secs for Active Instance of SM]  Duration: 0:00:30,2022-03-01 07:39:30.101,2022-03-01 07:40:00.133
53,EM1S2[Wait 30 secs for Active Instance of SM]  Duration: 0:00:30,2022-03-01 07:40:00.233,2022-03-01 07:40:30.266
54,EM1S2[Run partDBFromCluster.pl script]  Duration: 4:22:31,2022-03-01 07:40:50.838,2022-03-01 12:03:21.375
55,EM1S2[Wait 30 secs for Active Instance of SM]  Duration: 0:00:31,2022-03-01 12:06:36.986,2022-03-01 12:07:07.020
56,EM1S2[Wait 30 secs for Active Instance of SM]  Duration: 0:00:30,2022-03-01 12:07:18.259,2022-03-01 12:07:48.302
57,PA1S1[Configure DSCP Marking]  Duration: 0:00:34,2022-03-01 13:51:42.984000,2022-03-01 13:52:16.315000
58,PA1S1[Start Personal Agent (PA) Manager instance]  Duration: 0:01:32,2022-03-01 13:54:23.773,2022-03-01 13:55:55.395
59,PA1S1[Init AIDE Enablement]  Duration: 0:02:02,2022-03-01 13:56:08.378,2022-03-01 13:58:10.423
60,PA1S2[Configure DSCP Marking]  Duration: 0:00:34,2022-03-01 19:20:02.644000,2022-03-01 19:20:36.607000
61,PA1S2[Start Personal Agent (PA) Manager instance]  Duration: 0:02:01,2022-03-01 19:22:45.016,2022-03-01 19:24:46.596
62,PA1S2[Init AIDE Enablement]  Duration: 0:02:05,2022-03-01 19:25:00.345,2022-03-01 19:27:05.048
63,SES1S1[Configure DSCP Marking]  Duration: 0:00:32,2022-03-01 13:51:11.243000,2022-03-01 13:51:43.168000
64,SES1S1[Start Session Manager (SESM) instance]  Duration: 0:01:31,2022-03-01 13:53:36.023,2022-03-01 13:55:07.585
65,SES1S1[Init AIDE Enablement]  Duration: 0:01:16,2022-03-01 13:55:24.329,2022-03-01 13:56:40.176
66,SES1S2[Configure DSCP Marking]  Duration: 0:00:32,2022-03-01 19:19:24.026000,2022-03-01 19:19:56.187000
67,SES1S2[Start Session Manager (SESM) instance]  Duration: 0:01:32,2022-03-01 19:21:33.558,2022-03-01 19:23:05.211
68,SES1S2[Init AIDE Enablement]  Duration: 0:01:14,2022-03-01 19:23:21.096,2022-03-01 19:24:35.229
69,stackAPI[Check host status]  Duration: 0:01:43,2022-03-01 03:38:03.992,2022-03-01 03:39:46.116
70,stackAPI[Upload /resources/images/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/tmp5201. This may take some time.]  Duration: 0:00:52,2022-03-01 03:40:43.486,2022-03-01 03:41:35.218
71,stackAPI[Copy /var/lib/libvirt/images/tmp5201/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST3-EM1S1]  Duration: 0:00:36,2022-03-01 03:41:54.374,2022-03-01 03:42:30.464
